"Date","Amount_Theft"
"2001-11-15",276
"2001-11-16",299
"2001-11-17",277
"2001-11-18",210
"2001-11-19",256
"2001-11-20",263
"2001-11-21",281
"2001-11-22",159
"2001-11-23",246
"2001-11-24",243
"2001-11-25",211
"2001-11-26",295
"2001-11-27",279
"2001-11-28",306
"2001-11-29",286
"2001-11-30",290
"2001-12-01",345
"2001-12-02",212
"2001-12-03",245
"2001-12-04",236
"2001-12-05",255
"2001-12-06",269
"2001-12-07",286
"2001-12-08",293
"2001-12-09",199
"2001-12-10",283
"2001-12-11",248
"2001-12-12",270
"2001-12-13",282
"2001-12-14",269
"2001-12-15",264
"2001-12-16",224
"2001-12-17",264
"2001-12-18",269
"2001-12-19",265
"2001-12-20",252
"2001-12-21",280
"2001-12-22",218
"2001-12-23",198
"2001-12-24",189
"2001-12-25",112
"2001-12-26",205
"2001-12-27",195
"2001-12-28",228
"2001-12-29",219
"2001-12-30",167
"2001-12-31",226
"2002-01-01",425
"2002-01-02",278
"2002-01-03",218
"2002-01-04",210
"2002-01-05",211
"2002-01-06",178
"2002-01-07",225
"2002-01-08",236
"2002-01-09",260
"2002-01-10",268
"2002-01-11",267
"2002-01-12",247
"2002-01-13",211
"2002-01-14",264
"2002-01-15",248
"2002-01-16",257
"2002-01-17",226
"2002-01-18",243
"2002-01-19",239
"2002-01-20",204
"2002-01-21",207
"2002-01-22",239
"2002-01-23",229
"2002-01-24",242
"2002-01-25",264
"2002-01-26",229
"2002-01-27",199
"2002-01-28",248
"2002-01-29",223
"2002-01-30",215
"2002-01-31",198
"2002-02-01",340
"2002-02-02",216
"2002-02-03",185
"2002-02-04",180
"2002-02-05",195
"2002-02-06",193
"2002-02-07",243
"2002-02-08",232
"2002-02-09",227
"2002-02-10",200
"2002-02-11",251
"2002-02-12",247
"2002-02-13",199
"2002-02-14",220
"2002-02-15",292
"2002-02-16",214
"2002-02-17",176
"2002-02-18",231
"2002-02-19",235
"2002-02-20",232
"2002-02-21",230
"2002-02-22",235
"2002-02-23",206
"2002-02-24",177
"2002-02-25",261
"2002-02-26",221
"2002-02-27",235
"2002-02-28",236
"2002-03-01",353
"2002-03-02",190
"2002-03-03",149
"2002-03-04",180
"2002-03-05",235
"2002-03-06",218
"2002-03-07",203
"2002-03-08",255
"2002-03-09",200
"2002-03-10",173
"2002-03-11",261
"2002-03-12",220
"2002-03-13",246
"2002-03-14",273
"2002-03-15",284
"2002-03-16",249
"2002-03-17",227
"2002-03-18",250
"2002-03-19",232
"2002-03-20",248
"2002-03-21",220
"2002-03-22",261
"2002-03-23",252
"2002-03-24",193
"2002-03-25",239
"2002-03-26",235
"2002-03-27",250
"2002-03-28",258
"2002-03-29",245
"2002-03-30",245
"2002-03-31",179
"2002-04-01",346
"2002-04-02",241
"2002-04-03",242
"2002-04-04",262
"2002-04-05",262
"2002-04-06",267
"2002-04-07",160
"2002-04-08",227
"2002-04-09",241
"2002-04-10",257
"2002-04-11",236
"2002-04-12",265
"2002-04-13",218
"2002-04-14",199
"2002-04-15",295
"2002-04-16",230
"2002-04-17",256
"2002-04-18",248
"2002-04-19",283
"2002-04-20",241
"2002-04-21",227
"2002-04-22",223
"2002-04-23",259
"2002-04-24",268
"2002-04-25",286
"2002-04-26",314
"2002-04-27",246
"2002-04-28",203
"2002-04-29",266
"2002-04-30",257
"2002-05-01",339
"2002-05-02",238
"2002-05-03",269
"2002-05-04",246
"2002-05-05",252
"2002-05-06",232
"2002-05-07",235
"2002-05-08",292
"2002-05-09",280
"2002-05-10",332
"2002-05-11",255
"2002-05-12",205
"2002-05-13",278
"2002-05-14",275
"2002-05-15",273
"2002-05-16",245
"2002-05-17",290
"2002-05-18",283
"2002-05-19",240
"2002-05-20",295
"2002-05-21",273
"2002-05-22",267
"2002-05-23",304
"2002-05-24",303
"2002-05-25",252
"2002-05-26",236
"2002-05-27",201
"2002-05-28",290
"2002-05-29",271
"2002-05-30",289
"2002-05-31",299
"2002-06-01",342
"2002-06-02",237
"2002-06-03",241
"2002-06-04",257
"2002-06-05",291
"2002-06-06",289
"2002-06-07",274
"2002-06-08",256
"2002-06-09",208
"2002-06-10",250
"2002-06-11",279
"2002-06-12",310
"2002-06-13",278
"2002-06-14",325
"2002-06-15",290
"2002-06-16",262
"2002-06-17",294
"2002-06-18",316
"2002-06-19",238
"2002-06-20",316
"2002-06-21",291
"2002-06-22",270
"2002-06-23",260
"2002-06-24",301
"2002-06-25",281
"2002-06-26",316
"2002-06-27",301
"2002-06-28",314
"2002-06-29",283
"2002-06-30",274
"2002-07-01",379
"2002-07-02",305
"2002-07-03",311
"2002-07-04",258
"2002-07-05",259
"2002-07-06",302
"2002-07-07",253
"2002-07-08",310
"2002-07-09",320
"2002-07-10",342
"2002-07-11",290
"2002-07-12",350
"2002-07-13",287
"2002-07-14",268
"2002-07-15",406
"2002-07-16",342
"2002-07-17",324
"2002-07-18",303
"2002-07-19",304
"2002-07-20",342
"2002-07-21",259
"2002-07-22",326
"2002-07-23",326
"2002-07-24",316
"2002-07-25",295
"2002-07-26",313
"2002-07-27",289
"2002-07-28",276
"2002-07-29",320
"2002-07-30",360
"2002-07-31",306
"2002-08-01",414
"2002-08-02",320
"2002-08-03",293
"2002-08-04",217
"2002-08-05",283
"2002-08-06",311
"2002-08-07",301
"2002-08-08",333
"2002-08-09",336
"2002-08-10",329
"2002-08-11",286
"2002-08-12",329
"2002-08-13",314
"2002-08-14",322
"2002-08-15",365
"2002-08-16",346
"2002-08-17",294
"2002-08-18",272
"2002-08-19",301
"2002-08-20",293
"2002-08-21",268
"2002-08-22",313
"2002-08-23",341
"2002-08-24",318
"2002-08-25",257
"2002-08-26",318
"2002-08-27",314
"2002-08-28",307
"2002-08-29",277
"2002-08-30",318
"2002-08-31",289
"2002-09-01",330
"2002-09-02",266
"2002-09-03",310
"2002-09-04",287
"2002-09-05",285
"2002-09-06",317
"2002-09-07",265
"2002-09-08",276
"2002-09-09",292
"2002-09-10",310
"2002-09-11",315
"2002-09-12",269
"2002-09-13",312
"2002-09-14",303
"2002-09-15",290
"2002-09-16",295
"2002-09-17",335
"2002-09-18",303
"2002-09-19",301
"2002-09-20",364
"2002-09-21",303
"2002-09-22",280
"2002-09-23",301
"2002-09-24",288
"2002-09-25",299
"2002-09-26",286
"2002-09-27",320
"2002-09-28",303
"2002-09-29",260
"2002-09-30",274
"2002-10-01",426
"2002-10-02",278
"2002-10-03",302
"2002-10-04",347
"2002-10-05",277
"2002-10-06",293
"2002-10-07",278
"2002-10-08",311
"2002-10-09",304
"2002-10-10",287
"2002-10-11",322
"2002-10-12",301
"2002-10-13",211
"2002-10-14",302
"2002-10-15",319
"2002-10-16",290
"2002-10-17",302
"2002-10-18",328
"2002-10-19",297
"2002-10-20",249
"2002-10-21",269
"2002-10-22",271
"2002-10-23",289
"2002-10-24",307
"2002-10-25",301
"2002-10-26",296
"2002-10-27",247
"2002-10-28",291
"2002-10-29",308
"2002-10-30",304
"2002-10-31",280
"2002-11-01",354
"2002-11-02",265
"2002-11-03",224
"2002-11-04",266
"2002-11-05",275
"2002-11-06",286
"2002-11-07",266
"2002-11-08",302
"2002-11-09",278
"2002-11-10",237
"2002-11-11",287
"2002-11-12",292
"2002-11-13",318
"2002-11-14",264
"2002-11-15",277
"2002-11-16",252
"2002-11-17",211
"2002-11-18",261
"2002-11-19",263
"2002-11-20",257
"2002-11-21",256
"2002-11-22",298
"2002-11-23",266
"2002-11-24",230
"2002-11-25",264
"2002-11-26",260
"2002-11-27",285
"2002-11-28",151
"2002-11-29",231
"2002-11-30",230
"2002-12-01",281
"2002-12-02",269
"2002-12-03",222
"2002-12-04",233
"2002-12-05",271
"2002-12-06",270
"2002-12-07",226
"2002-12-08",207
"2002-12-09",297
"2002-12-10",283
"2002-12-11",286
"2002-12-12",290
"2002-12-13",292
"2002-12-14",273
"2002-12-15",281
"2002-12-16",281
"2002-12-17",273
"2002-12-18",238
"2002-12-19",259
"2002-12-20",274
"2002-12-21",249
"2002-12-22",233
"2002-12-23",287
"2002-12-24",247
"2002-12-25",130
"2002-12-26",175
"2002-12-27",223
"2002-12-28",242
"2002-12-29",214
"2002-12-30",261
"2002-12-31",260
"2003-01-01",472
"2003-01-02",241
"2003-01-03",274
"2003-01-04",220
"2003-01-05",245
"2003-01-06",290
"2003-01-07",244
"2003-01-08",248
"2003-01-09",268
"2003-01-10",278
"2003-01-11",222
"2003-01-12",184
"2003-01-13",272
"2003-01-14",241
"2003-01-15",264
"2003-01-16",256
"2003-01-17",280
"2003-01-18",235
"2003-01-19",163
"2003-01-20",238
"2003-01-21",230
"2003-01-22",206
"2003-01-23",208
"2003-01-24",215
"2003-01-25",216
"2003-01-26",158
"2003-01-27",214
"2003-01-28",238
"2003-01-29",220
"2003-01-30",218
"2003-01-31",229
"2003-02-01",309
"2003-02-02",229
"2003-02-03",241
"2003-02-04",213
"2003-02-05",245
"2003-02-06",245
"2003-02-07",241
"2003-02-08",193
"2003-02-09",175
"2003-02-10",249
"2003-02-11",223
"2003-02-12",199
"2003-02-13",222
"2003-02-14",281
"2003-02-15",228
"2003-02-16",207
"2003-02-17",229
"2003-02-18",230
"2003-02-19",226
"2003-02-20",254
"2003-02-21",265
"2003-02-22",218
"2003-02-23",198
"2003-02-24",230
"2003-02-25",221
"2003-02-26",226
"2003-02-27",232
"2003-02-28",267
"2003-03-01",353
"2003-03-02",202
"2003-03-03",268
"2003-03-04",237
"2003-03-05",223
"2003-03-06",213
"2003-03-07",286
"2003-03-08",225
"2003-03-09",172
"2003-03-10",256
"2003-03-11",261
"2003-03-12",257
"2003-03-13",255
"2003-03-14",294
"2003-03-15",250
